#{"t_start": 1721892090.8941483, "env_id": "None"}
r,l,t
-86396647349.36176,500,0.947635
-56966191879.961494,500,1.485089
-79203959750.98276,500,2.53686
-79166526817.94063,500,3.5726
-76349307919.21248,500,4.569
-84329601469.80365,500,5.817131
-105658854571.8339,500,7.386503
-84605456869.99373,500,8.545033
-101197197718.15718,500,9.853858
-81103491359.55959,500,11.096474
-157530041420.87213,500,12.37519
-106430409904.03416,500,13.684621
-75024629493.04521,500,15.054464
-131420743048.88025,500,16.658819
-97042294640.69403,500,18.018486
-47337905797.501625,500,19.225778
-185092153433.23706,500,20.6312
-133894245599.69048,500,22.176236
-210539021376.63007,500,23.451352
